word,rank,cefr,pos,ipa,meaning_vi,example_en,is_concrete_noun,orig_rank,sfi,freq_per_million
conflict,1044,B1,n,/kˈɑnflɪkt/,"xung đột, mâu thuẫn",They had a small conflict.,FALSE,1184,58.69,74
entire,1045,B1,adj,/ɪntˈaɪɚ/,"toàn bộ, cả",I read the entire book.,FALSE,1185,58.69,74
presence,1046,B1,n,/pɹˈɛzəns/,"sự hiện diện, sự có mặt",Your presence is required.,FALSE,1186,58.69,74
crowd,1047,B1,n,/kɹˈaʊd/,đám đông,A large crowd gathered.,FALSE,1187,58.69,74
corner,1048,B1,n,/kˈɔɹnɚ/,góc,The shop is on the corner.,TRUE,1188,58.69,74
gas,1049,B1,n,/ɡˈæs/,khí; xăng,Turn off the gas after cooking.,TRUE,1189,58.69,74
shift,1050,B1,n,/ʃˈɪft/,ca làm việc; sự dịch chuyển,She works the night shift.,FALSE,1190,58.68,74
net,1051,B1,n,/nˈɛt/,lưới,The fish escaped from the net.,TRUE,1191,58.68,74
category,1052,B1,n,/kˈætəɡˌɔɹi/,"loại, hạng mục",This book is in the science category.,FALSE,1192,58.68,74
secretary,1053,B1,n,/sˈɛkɹətˌɛɹi/,thư ký,The secretary answered the phone.,FALSE,1193,58.68,74
defense,1054,B1,n,/dɪfˈɛns/,"sự phòng thủ, bảo vệ",Their team has a strong defense.,FALSE,1194,58.68,74
quick,1055,B1,adj,/kwˈɪk/,nhanh,Let's have a quick lunch.,FALSE,1195,58.67,74
cook,1056,B1,v,/kˈʊk/,nấu ăn,She cooks dinner every day.,FALSE,1196,58.67,74
spread,1057,B1,v,/spɹˈɛd/,lan ra; trải ra,The fire spread quickly.,FALSE,1197,58.66,73
nuclear,1058,B1,adj,/nˈukliɚ/,thuộc hạt nhân,This is a nuclear power plant.,FALSE,1198,58.66,73
scale,1059,B1,n,/skˈeɪl/,quy mô; cân; thang,The map has a small scale.,FALSE,1199,58.66,73
driver,1060,B1,n,/dɹˈaɪvɚ/,"người lái xe, tài xế",The bus driver was friendly.,FALSE,1200,58.66,73
ball,1061,B1,n,/bˈɔl/,quả bóng,The children kicked the ball.,TRUE,1201,58.65,73
cry,1062,B1,v,/kɹˈaɪ/,khóc,The baby is crying.,FALSE,1202,58.64,73
introduction,1063,B1,n,/ˌɪntɹədˈʌkʃən/,sự giới thiệu; phần mở đầu,Read the introduction first.,FALSE,1203,58.63,73
requirement,1064,B1,n,/ɹɪkwˈaɪɹmənt/,"yêu cầu, điều kiện",What are the job requirements?,FALSE,1204,58.63,73
north,1065,B1,n,/nˈɔɹθ/,phía bắc,The wind blows from the north.,FALSE,1205,58.62,73
confirm,1066,B1,v,/kənfˈɝm/,xác nhận,Please confirm your booking.,FALSE,1206,58.62,73
senior,1067,B1,adj,/sˈinjɚ/,cao cấp; lớn tuổi,He is a senior manager.,FALSE,1207,58.6,72
photo,1068,B1,n,/fˈoʊtˌoʊ/,bức ảnh,Take a photo of us.,TRUE,1208,58.59,72
refuse,1069,B1,v,/ɹəfjˈuz/,từ chối,She refused the offer.,FALSE,1209,58.59,72
transport,1070,B1,n,/tɹænspˈɔɹt/,sự vận chuyển; phương tiện,Public transport is cheap here.,FALSE,1210,58.58,72
emerge,1071,B1,v,/ɪmˈɝdʒ/,"xuất hiện, nổi lên",The sun emerged from the clouds.,FALSE,1211,58.58,72
map,1072,B1,n,/mˈæp/,bản đồ,Look at the map for directions.,TRUE,1212,58.58,72
concept,1073,B1,n,/kˈɑnsɛpt/,khái niệm,This is a difficult concept.,FALSE,1213,58.58,72
island,1074,B1,n,/ˈaɪlənd/,hòn đảo,They live on a small island.,TRUE,1214,58.57,72
reform,1075,B1,n,/ɹəfˈɔɹm/,sự cải cách,The country needs reform.,FALSE,1215,58.57,72
football,1076,B1,n,/fˈʊtbˌɔl/,bóng đá; bóng bầu dục,He plays football on weekends.,TRUE,1217,58.56,72
survive,1077,B1,v,/sɚvˈaɪv/,sống sót,Only a few plants survived the cold.,FALSE,1218,58.56,72
flight,1078,B1,n,/flˈaɪt/,chuyến bay,Our flight leaves at noon.,FALSE,1219,58.55,72
left,1079,B1,n,/lˈɛft/,bên trái,Turn to the left.,FALSE,1220,58.55,72
solve,1080,B1,v,/sˈɑlv/,giải quyết,We must solve this problem.,FALSE,1221,58.54,72
neighbor,1081,B1,n,/nˈeɪbɚ/,người hàng xóm,My neighbor is very kind.,FALSE,1222,58.54,72
background,1082,B1,n,/bˈækɡɹˌaʊnd/,"hoàn cảnh; nền, phông",He has a science background.,FALSE,1223,58.54,71
technique,1083,B1,n,/tɛknˈik/,kỹ thuật,She learned a new technique.,FALSE,1224,58.54,71
traffic,1084,B1,n,/tɹˈæfɪk/,giao thông,The traffic is heavy today.,FALSE,1225,58.54,71
improvement,1085,B1,n,/ˌɪmpɹˈuvmənt/,sự cải thiện,There is a big improvement.,FALSE,1226,58.53,71
tool,1086,B1,n,/tˈul/,"công cụ, dụng cụ",A hammer is a useful tool.,TRUE,1227,58.52,71
consequence,1087,B1,n,/kˈɑnsəkwəns/,hậu quả,Actions have consequences.,FALSE,1228,58.52,71
circumstance,1088,B1,n,/sˈɝkəmstˌæns/,"hoàn cảnh, tình huống","Under the circumstances, we waited.",FALSE,1229,58.52,71
smoke,1089,B1,n,/smˈoʊk/,khói,The room was full of smoke.,FALSE,1230,58.52,71
reaction,1090,B1,n,/ɹiˈækʃən/,phản ứng,What was her reaction?,FALSE,1231,58.52,71
rain,1091,B1,n,/ɹˈeɪn/,mưa,The rain stopped in the evening.,FALSE,1232,58.52,71
busy,1092,B1,adj,/bˈɪzi/,bận rộn; đông đúc,I am very busy today.,FALSE,1233,58.51,71
lesson,1093,B1,n,/lˈɛsən/,bài học,We have an English lesson now.,FALSE,1234,58.51,71
brain,1094,B1,n,/bɹˈeɪn/,bộ não,The brain controls the body.,TRUE,1235,58.5,71
mass,1095,B1,n,/mˈæs/,khối lượng; đám đông,A mass of people gathered.,FALSE,1236,58.5,71
funny,1096,B1,adj,/fˈʌni/,"buồn cười, hài hước",That joke was very funny.,FALSE,1237,58.49,71
contribute,1097,B1,v,/kəntɹˈɪbjut/,đóng góp,Everyone contributed some money.,FALSE,1238,58.49,71
failure,1098,B1,n,/fˈeɪljɚ/,sự thất bại,Failure is part of learning.,FALSE,1239,58.49,71
schedule,1099,B1,n,/skˈɛdʒʊl/,"lịch trình, thời gian biểu",Check your schedule for tomorrow.,FALSE,1240,58.48,71
speaker,1100,B1,n,/spˈikɚ/,người nói; loa,The speaker gave a great talk.,TRUE,1241,58.48,70
bottom,1101,B1,n,/bˈɑtəm/,đáy; phần dưới,Sign at the bottom of the page.,FALSE,1242,58.47,70
adopt,1102,B1,v,/ədˈɑpt/,nhận nuôi; áp dụng,They adopted a child.,FALSE,1243,58.47,70
combine,1103,B1,v,/kˈɑmbaɪn/,kết hợp,Combine the two ideas.,FALSE,1244,58.47,70
mountain,1104,B1,n,/mˈaʊntən/,ngọn núi,We climbed the high mountain.,TRUE,1245,58.46,70
waste,1105,B1,v,/wˈeɪst/,lãng phí,Don't waste your time.,FALSE,1246,58.46,70
hide,1106,B1,v,/hˈaɪd/,giấu; trốn,The cat hid under the bed.,FALSE,1247,58.45,70
marriage,1107,B1,n,/mˈɛɹɪdʒ/,"hôn nhân, cuộc hôn nhân",They have a happy marriage.,FALSE,1248,58.45,70
ticket,1108,B1,n,/tˈɪkət/,vé,I bought two movie tickets.,TRUE,1249,58.45,70
meal,1109,B1,n,/mˈil/,bữa ăn,We had a delicious meal.,FALSE,1250,58.45,70
colleague,1110,B1,n,/kˈɑliɡ/,đồng nghiệp,My colleagues are friendly.,FALSE,1251,58.45,70
bag,1111,B1,n,/bˈæɡ/,"cái túi, cặp",She carried a heavy bag.,TRUE,1252,58.45,70
repeat,1112,B1,v,/ɹɪpˈit/,lặp lại,Please repeat the question.,FALSE,1253,58.44,70
equal,1113,B1,adj,/ˈikwəl/,"bằng nhau, ngang bằng",Cut the cake into equal parts.,FALSE,1254,58.43,70
expression,1114,B1,n,/ɪkspɹˈɛʃən/,sự biểu lộ; thành ngữ,Learn this common expression.,FALSE,1255,58.43,70
plus,1115,B1,prep,/plˈʌs/,"cộng, thêm",Two plus two is four.,FALSE,1256,58.43,70
extremely,1116,B1,adv,/ɛkstɹˈimli/,"cực kỳ, vô cùng",It is extremely hot today.,FALSE,1257,58.43,70
owner,1117,B1,n,/ˈoʊnɚ/,"chủ, người sở hữu",Who is the owner of this car?,FALSE,1258,58.42,70
plane,1118,B1,n,/plˈeɪn/,máy bay,The plane landed safely.,TRUE,1259,58.42,69
commercial,1119,B1,adj,/kəmˈɝʃəl/,thương mại,This is a commercial building.,FALSE,1260,58.41,69
lady,1120,B1,n,/lˈeɪdi/,"quý bà, phụ nữ",The old lady smiled at me.,FALSE,1261,58.39,69
duty,1121,B1,n,/dˈuti/,"nhiệm vụ, bổn phận",It is my duty to help.,FALSE,1262,58.38,69
strength,1122,B1,n,/stɹˈɛŋkθ/,sức mạnh; điểm mạnh,Teamwork is our strength.,FALSE,1263,58.37,69
connect,1123,B1,v,/kənˈɛkt/,"kết nối, nối",Connect the cable to the TV.,FALSE,1264,58.36,69
cultural,1124,B1,adj,/kˈʌltʃɚəl/,thuộc văn hóa,We visited many cultural sites.,FALSE,1265,58.36,69
arrange,1125,B1,v,/ɚˈeɪndʒ/,sắp xếp; thu xếp,She arranged the flowers.,FALSE,1266,58.35,68
scheme,1126,B1,n,/skˈim/,kế hoạch; sơ đồ,They started a new scheme.,FALSE,1267,58.35,68
payment,1127,B1,n,/pˈeɪmənt/,"sự thanh toán, khoản trả",Your payment was received.,FALSE,1268,58.34,68
unfortunately,1128,B1,adv,/ənfˈɔɹtʃənətli/,"không may, thật tiếc","Unfortunately, the shop was closed.",FALSE,1269,58.34,68
brief,1129,B1,adj,/bɹˈif/,ngắn gọn,Let me give a brief summary.,FALSE,1270,58.34,68
bird,1130,B1,n,/bˈɝd/,con chim,A bird is singing in the tree.,TRUE,1271,58.33,68
demonstrate,1131,B1,v,/dˈɛmənstɹˌeɪt/,chứng minh; biểu diễn,She demonstrated how to use it.,FALSE,1272,58.33,68
contribution,1132,B1,n,/kˌɑntɹəbjˈuʃən/,sự đóng góp,Thank you for your contribution.,FALSE,1273,58.33,68
appreciate,1133,B1,v,/əpɹˈiʃiˌeɪt/,đánh giá cao; biết ơn,I appreciate your help.,FALSE,1274,58.32,68
chapter,1134,B1,n,/tʃˈæptɚ/,chương (sách),Read the first chapter tonight.,FALSE,1275,58.32,68
secret,1135,B1,n,/sˈikɹət/,bí mật,Can you keep a secret?,FALSE,1276,58.32,68
apparently,1136,B1,adv,/əpˈɛɹəntli/,"có vẻ như, hình như","Apparently, she is leaving soon.",FALSE,1277,58.32,68
novel,1137,B1,n,/nˈɑvəl/,tiểu thuyết,She wrote a famous novel.,TRUE,1278,58.32,68
union,1138,B1,n,/jˈunjən/,công đoàn; liên minh,He joined the workers' union.,FALSE,1279,58.31,68
burn,1139,B1,v,/bˈɝn/,đốt; cháy; bỏng,Be careful not to burn the rice.,FALSE,1280,58.31,68
trend,1140,B1,n,/tɹˈɛnd/,xu hướng,This is the latest fashion trend.,FALSE,1281,58.31,68
initial,1141,B1,adj,/ˌɪnˈɪʃəl/,"ban đầu, đầu tiên",My initial idea was different.,FALSE,1282,58.31,68
pleasure,1142,B1,n,/plˈɛʒɚ/,"niềm vui, sự vui thích",It's a pleasure to meet you.,FALSE,1283,58.3,68
suggestion,1143,B1,n,/sədʒˈɛstʃən/,"lời đề nghị, gợi ý",Do you have any suggestions?,FALSE,1284,58.3,68
critical,1144,B1,adj,/kɹˈɪtɪkəl/,quan trọng; phê phán,This is a critical moment.,FALSE,1285,58.29,67
gather,1145,B1,v,/ɡˈæðɚ/,tụ tập; thu thập,People gathered in the square.,FALSE,1286,58.29,67
mostly,1146,B1,adv,/mˈoʊstli/,"chủ yếu, phần lớn",The students are mostly girls.,FALSE,1287,58.29,67
earth,1147,B1,n,/ˈɝθ/,trái đất; đất,The Earth goes around the Sun.,FALSE,1288,58.29,67
pop,1148,B1,adj,/pˈɑp/,nhạc pop; (v) nổ,She likes pop music.,FALSE,1289,58.28,67
essential,1149,B1,adj,/ɛsˈɛnʃəl/,"thiết yếu, cần thiết",Water is essential for life.,FALSE,1290,58.27,67
desire,1150,B1,n,/dɪzˈaɪɚ/,"sự khao khát, mong muốn",She has a strong desire to learn.,FALSE,1291,58.27,67
promote,1151,B1,v,/pɹəmˈoʊt/,thăng chức; quảng bá,They promoted her to manager.,FALSE,1292,58.27,67
currently,1152,B1,adv,/kˈɝəntli/,"hiện nay, hiện tại",She is currently studying abroad.,FALSE,1293,58.27,67
employ,1153,B1,v,/ɛmplˈɔɪ/,tuyển dụng; sử dụng,The factory employs many workers.,FALSE,1294,58.26,67
path,1154,B1,n,/pˈæθ/,"con đường mòn, lối đi",Follow the path to the lake.,TRUE,1295,58.26,67
topic,1155,B1,n,/tˈɑpɪk/,"chủ đề, đề tài",Choose a topic for your essay.,FALSE,1296,58.26,67
beach,1156,B1,n,/bˈitʃ/,bãi biển,We relaxed on the beach.,TRUE,1297,58.25,67
attract,1157,B1,v,/ətɹˈækt/,"thu hút, hấp dẫn",The park attracts many tourists.,FALSE,1298,58.25,67
engage,1158,B1,v,/ɛnɡˈeɪdʒ/,thu hút; tham gia,The teacher engaged the class.,FALSE,1299,58.25,67
powerful,1159,B1,adj,/pˈaʊɚfəl/,"mạnh mẽ, hùng mạnh",This is a powerful engine.,FALSE,1300,58.24,67
flower,1160,B1,n,/flˈaʊɚ/,bông hoa,She picked a beautiful flower.,TRUE,1301,58.24,67
crisis,1161,B1,n,/kɹˈaɪsəs/,khủng hoảng,The country faced an economic crisis.,FALSE,1302,58.24,67
settle,1162,B1,v,/sˈɛtəl/,định cư; giải quyết,They settled in a new town.,FALSE,1303,58.23,67
boat,1163,B1,n,/bˈoʊt/,con thuyền,We rowed the boat across the lake.,TRUE,1304,58.23,66
aid,1164,B1,n,/ˈeɪd/,"sự viện trợ, giúp đỡ",They sent aid to the flood victims.,FALSE,1305,58.23,66
fan,1165,B1,n,/fˈæn/,người hâm mộ; cái quạt,He is a big football fan.,TRUE,1306,58.23,66
kitchen,1166,B1,n,/kˈɪtʃən/,nhà bếp,She is cooking in the kitchen.,TRUE,1307,58.23,66
twice,1167,B1,adv,/twˈaɪs/,hai lần,I brush my teeth twice a day.,FALSE,1308,58.22,66
fresh,1168,B1,adj,/fɹˈɛʃ/,tươi; mới,I love fresh vegetables.,FALSE,1309,58.22,66
delay,1169,B1,n,/dɪlˈeɪ/,"sự trì hoãn, chậm trễ",There was a long delay.,FALSE,1310,58.22,66
safety,1170,B1,n,/sˈeɪfti/,sự an toàn,Safety comes first.,FALSE,1311,58.22,66
engineer,1171,B1,n,/ˈɛndʒənˈɪɹ/,kỹ sư,He is a software engineer.,FALSE,1312,58.22,66
quiet,1172,B1,adj,/kwˈaɪət/,"yên tĩnh, im lặng",The library is very quiet.,FALSE,1313,58.21,66
insurance,1173,B1,n,/ˌɪnʃˈʊɹəns/,bảo hiểm,Do you have health insurance?,FALSE,1314,58.21,66
nurse,1174,B1,n,/nˈɝs/,y tá,The nurse took my temperature.,TRUE,1315,58.21,66
divide,1175,B1,v,/dɪvˈaɪd/,chia,Divide the class into groups.,FALSE,1316,58.2,66
length,1176,B1,n,/lˈɛŋkθ/,chiều dài; độ dài,Measure the length of the room.,FALSE,1317,58.2,66
investigation,1177,B1,n,/ˌɪnvˌɛstəɡˈeɪʃən/,cuộc điều tra,The police started an investigation.,FALSE,1318,58.19,66
package,1178,B1,n,/pˈækədʒ/,"gói hàng, bưu kiện",A package arrived for you.,TRUE,1319,58.19,66
expand,1179,B1,v,/ɪkspˈænd/,mở rộng,The company plans to expand.,FALSE,1321,58.18,66
commit,1180,B1,v,/kəmˈɪt/,cam kết; phạm (tội),She is committed to her work.,FALSE,1322,58.18,66
obvious,1181,B1,adj,/ˈɑbviəs/,"rõ ràng, hiển nhiên",The answer is obvious.,FALSE,1323,58.18,66
jump,1182,B1,v,/dʒˈʌmp/,nhảy,The cat jumped onto the table.,FALSE,1324,58.16,65
weapon,1183,B1,n,/wˈɛpən/,vũ khí,The police found a weapon.,TRUE,1325,58.16,65
relatively,1184,B1,adv,/ɹˈɛlətɪvli/,tương đối,This test was relatively easy.,FALSE,1326,58.15,65
host,1185,B1,n,/hˈoʊst/,chủ nhà; người dẫn chương trình,She was a kind host.,FALSE,1327,58.15,65
winter,1186,B1,n,/wˈɪntɚ/,mùa đông,Winter is very cold here.,FALSE,1328,58.15,65
district,1187,B1,n,/dˈɪstɹɪkt/,"quận, huyện",They live in a quiet district.,FALSE,1329,58.15,65
broad,1188,B1,adj,/bɹˈɔd/,"rộng, rộng lớn",He has broad shoulders.,FALSE,1330,58.14,65
tire,1189,B1,n,/tˈaɪɚ/,lốp xe,The car has a flat tire.,TRUE,1331,58.12,65
spring,1190,B1,n,/spɹˈɪŋ/,mùa xuân; lò xo,Flowers bloom in spring.,FALSE,1332,58.11,65
spirit,1191,B1,n,/spˈɪɹət/,tinh thần; linh hồn,The team has great spirit.,FALSE,1333,58.09,64
lunch,1192,B1,n,/lˈʌntʃ/,bữa trưa,Let's have lunch together.,FALSE,1334,58.09,64
actual,1193,B1,adj,/ˈæktʃəwəl/,"thực tế, thực sự",What is the actual cost?,FALSE,1335,58.08,64
pool,1194,B1,n,/pˈul/,hồ bơi; vũng,The hotel has a swimming pool.,TRUE,1336,58.08,64
battle,1195,B1,n,/bˈætəl/,trận chiến,They won the final battle.,FALSE,1337,58.08,64
tradition,1196,B1,n,/tɹədˈɪʃən/,truyền thống,This is an old family tradition.,FALSE,1338,58.08,64
cash,1197,B1,n,/kˈæʃ/,tiền mặt,I paid in cash.,TRUE,1339,58.07,64
hardly,1198,B1,adv,/hˈɑɹdli/,hầu như không,I can hardly hear you.,FALSE,1340,58.06,64
award,1199,B1,n,/əwˈɔɹd/,giải thưởng,She won an award for her work.,TRUE,1341,58.06,64
coach,1200,B1,n,/kˈoʊtʃ/,huấn luyện viên; xe khách,The coach trained the team hard.,FALSE,1342,58.06,64
experiment,1201,B1,n,/ɪkspˈɛɹəmənt/,thí nghiệm,We did a science experiment.,FALSE,1343,58.06,64
consideration,1202,B1,n,/kənsˌɪdɚˈeɪʃən/,sự cân nhắc,Take this into consideration.,FALSE,1344,58.06,64
strange,1203,B1,adj,/stɹˈeɪndʒ/,"kỳ lạ, lạ",I heard a strange noise.,FALSE,1345,58.06,64
code,1204,B1,n,/kˈoʊd/,"mã, mật mã",Enter your secret code.,FALSE,1346,58.06,64
possibly,1205,B1,adv,/pˈɑsəbli/,"có thể, có lẽ",This is possibly the best plan.,FALSE,1347,58.04,64
threat,1206,B1,n,/θɹˈɛt/,mối đe dọa,Pollution is a serious threat.,FALSE,1348,58.04,64
accident,1207,B1,n,/ˈæksədənt/,tai nạn,There was a car accident.,FALSE,1349,58.04,64
impossible,1208,B1,adj,/ˌɪmpˈɑsəbəl/,không thể,This task seems impossible.,FALSE,1350,58.04,64
revenue,1209,B1,n,/ɹˈɛvənˌu/,doanh thu,The company's revenue grew.,FALSE,1351,58.04,64
enable,1210,B1,v,/ɛnˈeɪbəl/,cho phép; tạo điều kiện,This app enables fast learning.,FALSE,1352,58.04,64
afraid,1211,B1,adj,/əfɹˈeɪd/,"sợ, e ngại",I am afraid of the dark.,FALSE,1353,58.03,63
active,1212,B1,adj,/ˈæktɪv/,"năng động, tích cực",She leads an active life.,FALSE,1354,58.03,63
conclude,1213,B1,v,/kənklˈud/,kết luận; kết thúc,She concluded her speech.,FALSE,1355,58.02,63
religious,1214,B1,adj,/ɹɪlˈɪdʒəs/,"thuộc tôn giáo, sùng đạo",They are a religious family.,FALSE,1356,58.01,63
cancer,1215,B1,n,/kˈænsɚ/,bệnh ung thư,Smoking can cause cancer.,FALSE,1357,58.01,63
convince,1216,B1,v,/kənvˈɪns/,thuyết phục,She convinced me to stay.,FALSE,1358,58.01,63
vary,1217,B1,v,/vˈɛɹi/,"thay đổi, khác nhau",Prices vary from shop to shop.,FALSE,1359,58.01,63
environmental,1218,B1,adj,/ɪnvˌaɪɹənmˈɛntəl/,thuộc môi trường,We discussed environmental issues.,FALSE,1360,58,63
sun,1219,B1,n,/sˈʌn/,mặt trời,The sun is very bright today.,TRUE,1361,58,63
healthy,1220,B1,adj,/hˈɛlθi/,khỏe mạnh; lành mạnh,Eat healthy food every day.,FALSE,1362,57.99,63
blow,1221,B1,v,/blˈoʊ/,thổi,The wind is blowing hard.,FALSE,1363,57.98,63
volume,1222,B1,n,/vˈɑljum/,âm lượng; thể tích; tập,"Turn down the volume, please.",FALSE,1364,57.97,63
location,1223,B1,n,/loʊkˈeɪʃən/,"vị trí, địa điểm",The hotel has a great location.,FALSE,1365,57.97,63
invest,1224,B1,v,/ˌɪnvˈɛst/,đầu tư,They invested in a new business.,FALSE,1366,57.97,63
proceed,1225,B1,v,/pɹəsˈid/,"tiến hành, tiếp tục",Please proceed to the gate.,FALSE,1367,57.97,63
wash,1226,B1,v,/wˈɑʃ/,"rửa, giặt",Wash your hands before eating.,FALSE,1368,57.97,63
actor,1227,B1,n,/ˈæktɚ/,diễn viên,He is a famous actor.,TRUE,1369,57.96,63
glad,1228,B1,adj,/ɡlˈæd/,"vui, mừng",I am glad to see you.,FALSE,1370,57.96,63
tape,1229,B1,n,/tˈeɪp/,băng dính; băng ghi,Use tape to fix the box.,TRUE,1371,57.96,62
opposite,1230,B1,adj,/ˈɑpəzət/,đối diện; ngược lại,The bank is opposite the park.,FALSE,1373,57.95,62
stone,1231,B1,n,/stˈoʊn/,hòn đá,He threw a stone into the water.,TRUE,1374,57.95,62
sum,1232,B1,n,/sˈʌm/,tổng; số tiền,The sum of two and three is five.,FALSE,1375,57.95,62
murder,1233,B1,n,/mˈɝdɚ/,vụ giết người,The police solved the murder.,FALSE,1376,57.95,62
monitor,1234,B1,n,/mˈɑnətɚ/,màn hình; người theo dõi,The computer monitor is broken.,TRUE,1377,57.94,62
soldier,1235,B1,n,/sˈoʊldʒɚ/,người lính,The soldier stood at the gate.,TRUE,1378,57.94,62
finance,1236,B1,n,/fənˈæns/,tài chính,She studies finance at college.,FALSE,1379,57.94,62
hate,1237,B1,v,/hˈeɪt/,ghét,I hate waiting in long lines.,FALSE,1380,57.93,62
egg,1238,B1,n,/ˈɛɡ/,quả trứng,I eat two eggs for breakfast.,TRUE,1381,57.93,62
concert,1239,B1,n,/kˈɑnsɚt/,buổi hòa nhạc,We went to a rock concert.,FALSE,1382,57.92,62
shock,1240,B1,n,/ʃˈɑk/,cú sốc,The news was a big shock.,FALSE,1383,57.92,62
comfortable,1241,B1,adj,/kˈʌmfɚtəbəl/,"thoải mái, dễ chịu",This chair is very comfortable.,FALSE,1384,57.92,62
usual,1242,B1,adj,/jˈuʒəwəl/,"thường lệ, thông thường",He arrived at the usual time.,FALSE,1385,57.92,62
carefully,1243,B1,adv,/kˈɛɹfəli/,một cách cẩn thận,Read the instructions carefully.,FALSE,1386,57.91,62
pack,1244,B1,v,/pˈæk/,đóng gói; xếp đồ,I need to pack my bags.,FALSE,1387,57.91,62
recall,1245,B1,v,/ɹˈikˌɔl/,nhớ lại; thu hồi,I can't recall her name.,FALSE,1388,57.91,62
wine,1246,B1,n,/wˈaɪn/,rượu vang,They drank a glass of wine.,TRUE,1389,57.9,62
camera,1247,B1,n,/kˈæmɚə/,máy ảnh,She bought a new camera.,TRUE,1390,57.9,62
swim,1248,B1,v,/swˈɪm/,bơi,I swim every weekend.,FALSE,1391,57.9,62
manufacture,1249,B1,v,/mˌænjəfˈæktʃɚ/,"sản xuất, chế tạo",The factory manufactures phones.,FALSE,1392,57.9,62
theater,1250,B1,n,/θˈiətɚ/,"nhà hát, rạp",We watched a play at the theater.,TRUE,1393,57.89,61
cycle,1251,B1,n,/sˈaɪkəl/,chu kỳ; xe đạp,The water cycle is natural.,FALSE,1394,57.88,61
coffee,1252,B1,n,/kˈɑfi/,cà phê,I drink coffee every morning.,TRUE,1395,57.87,61
totally,1253,B1,adv,/tˈoʊtəli/,hoàn toàn,I totally agree with you.,FALSE,1396,57.87,61
museum,1254,B1,n,/mjuzˈiəm/,viện bảo tàng,We visited the art museum.,TRUE,1397,57.87,61
visitor,1255,B1,n,/vˈɪzɪtɚ/,"khách tham quan, khách",The museum had many visitors.,FALSE,1398,57.87,61
freedom,1256,B1,n,/fɹˈidəm/,sự tự do,Everyone wants freedom.,FALSE,1399,57.86,61
construction,1257,B1,n,/kənstɹˈʌkʃən/,"sự xây dựng, công trình",The building is under construction.,FALSE,1400,57.86,61
dear,1258,B1,adj,/dˈɪɹ/,thân mến; đắt,"Dear friend, thank you.",FALSE,1401,57.86,61
objective,1259,B1,n,/əbdʒˈɛktɪv/,mục tiêu,Our main objective is clear.,FALSE,1402,57.84,61
historical,1260,B1,adj,/hɪstˈɔɹɪkəl/,thuộc lịch sử,This is a historical building.,FALSE,1405,57.83,61
oppose,1261,B1,v,/əpˈoʊz/,"phản đối, chống lại",Many people oppose the plan.,FALSE,1406,57.83,61
branch,1262,B1,n,/bɹˈæntʃ/,cành cây; chi nhánh,The bank has a new branch.,TRUE,1407,57.82,61
vehicle,1263,B1,n,/vˈihɪkəl/,"xe cộ, phương tiện",Park your vehicle here.,TRUE,1408,57.82,61
scientist,1264,B1,n,/sˈaɪəntɪst/,nhà khoa học,The scientist studied the results.,FALSE,1409,57.82,60
route,1265,B1,n,/ɹˈut/,"tuyến đường, lộ trình",This is the fastest route.,FALSE,1410,57.81,60
bind,1266,B1,v,/bˈaɪnd/,buộc; ràng buộc,Bind the papers together.,FALSE,1411,57.8,60
belong,1267,B1,v,/bɪlˈɔŋ/,thuộc về,This book belongs to me.,FALSE,1412,57.8,60
taste,1268,B1,n,/tˈeɪst/,vị; khẩu vị,The soup has a great taste.,FALSE,1413,57.8,60
tonight,1269,B1,adv,/tənˈaɪt/,tối nay,Let's go out tonight.,FALSE,1414,57.79,60
fashion,1270,B1,n,/fˈæʃən/,thời trang,She works in the fashion industry.,FALSE,1415,57.79,60
danger,1271,B1,n,/dˈeɪndʒɚ/,sự nguy hiểm,Keep away from danger.,FALSE,1416,57.79,60
bomb,1272,B1,n,/bˈɑm/,quả bom,The bomb did not explode.,TRUE,1417,57.79,60
army,1273,B1,n,/ˈɑɹmi/,quân đội,He joined the army.,FALSE,1418,57.79,60
dangerous,1274,B1,adj,/dˈeɪndʒɚəs/,nguy hiểm,This road is dangerous at night.,FALSE,1419,57.77,60
decrease,1275,B1,v,/dɪkɹˈis/,"giảm, giảm bớt",The number of students decreased.,FALSE,1420,57.76,60
hurt,1276,B1,v,/hˈɝt/,làm đau; đau,My leg hurts.,FALSE,1421,57.76,60
council,1277,B1,n,/kˈaʊnsəl/,hội đồng,The city council met today.,FALSE,1422,57.75,60
editor,1278,B1,n,/ˈɛdətɚ/,biên tập viên,She is the newspaper editor.,FALSE,1423,57.74,59
normally,1279,B1,adv,/nˈɔɹməli/,"thường, bình thường",I normally sleep early.,FALSE,1424,57.74,59
sight,1280,B1,n,/sˈaɪt/,thị giác; cảnh tượng,The mountains are a beautiful sight.,FALSE,1425,57.74,59
generate,1281,B1,v,/dʒˈɛnɚˌeɪt/,"tạo ra, sinh ra",Solar panels generate power.,FALSE,1426,57.73,59
gift,1282,B1,n,/ɡˈɪft/,món quà,I bought a gift for her.,TRUE,1427,57.73,59
delivery,1283,B1,n,/dɪlˈɪvɚi/,sự giao hàng,Free delivery is available.,FALSE,1428,57.72,59
deny,1284,B1,v,/dɪnˈaɪ/,"phủ nhận, từ chối",He denied the accusation.,FALSE,1429,57.72,59
